key,transcript,prediction
0,"Turret, prepare to deploy electromagnetic pulse. Heading zero six five, target is grey and white fighter jet. Engage when ready.",dorrit repaired to defloy electromagnetic pulse heading zero six five targets gray and white fighter jet engage when ready
1,"Engage yellow drone with surface-to-air missiles, heading two three five.",engaged yellow drum with surface to exile heading two three five
2,"Control to turrets, deploy electromagnetic pulse, heading one one zero. Engage blue and red fighter plane. Repeat, deploy EMP, heading one one zero, engage blue and red fighter aircraft. Over.",controlled to turret employ electromagnetic pulse heading one one virile engaged blue and red fidoplane repeat deploy e m p heading one one virile engage blue and red fido aircrette over
3,"Alfa, Echo, Mike Papa, deploy EMP tool heading zero eight five, engage purple, red, and silver fighter jet.",alpha echo mice papa deplore the impetual heading cyril ate five engage purple red and silver fighter jet
4,"Engage the grey, black, and green fighter plane with the machine gun, heading zero niner five.",and gave the clean black and green fighter clean with the machine gun heading viro nine or five
5,"Air defense turret, lock onto target black and yellow missile at heading zero one five. Deploy EMP.",edge fence turret lock on the target black and yellow missile at heading veero one pipe the employ e m p
6,"Control, heading zero eight five, deploy electromagnetic pulse on the green, grey, and brown cargo aircraft target. Over.",control heading through eight five the pure electromagnetic pulse on the green gray and brown cargo air craft target over
7,"Control to air defense turrets, prepare to engage target at heading zero four five. Deploy anti-air artillery against white light aircraft. Execute with extreme precision and caution.",control to air descent to it prepared to engage target at heading river four five to ply anti air artillery against white light air craft execute with extreme precision and caution
8,"Control here, this is a priority alert. Deploy anti-air artillery to intercept the orange and blue light aircraft heading two one five. Execute immediately. Over.",and through here this is the priority in earth the employ and high air artillery to intercept the orange and blue light air craft heading two one five execute immediately over
9,"Control tower to air defense turrets, deploy anti-air artillery, heading three zero five, target black and white light aircraft.",until tower to air seventh thirds employ empty air artillery heading three veal five target black and white light air craft
10,"Turret Bravo, engage the target, white, green, and silver cargo aircraft, heading zero five five with surface-to-air missiles. Prepare for launch.",tarried bravo engaged the target white green and silver cargo et cetera heading vera five five with surfaced air missiles repair for launch
11,"Control tower to air defense turrets, deploy surface-to-air missiles, heading three zero five, target yellow drone.",control tower to air the fence turrets the employe service to air besides heading three little five target yellow drone
12,"Rotate to heading two eight five, deploy machine gun, target the red and silver missile. Ready to engage.",rotated to heading two eight five dip my machine gun target the red and silver missile ready to engage
13,"Turret Delta, engage the white, silver, and red cargo aircraft with interceptor jets on heading one niner five.",turret delta engaged a white silver and red cargo aircruffed with intercepted jets on heading one nine of five
14,"Tango, this is Tower. Engage black drone at heading two seven five with machine gun. Repeat, engage black drone at heading two seven five with machine gun. Over.",dangle this is tower engaged black drone at heading two seven five with machine gone repeated engaged blacktrown on heading two seventy five with missingleman over
15,Engage hostile silver and black fighter jet at heading two zero five. Deploy EMP immediately.,engage hotter silver and black fighter jet at heading two deal five employ e n p immediately
16,"Control tower to air defense turrets, deploy electromagnetic pulse on purple, orange, and red helicopter at heading two zero five.",were no dower two ad the french turrets employ electromagnetic poles on purple orange and red selifactor at heading two verify
17,"Control to turrets, prepare to engage target at heading two four zero. Deploy anti-air artillery against the brown, grey, and white fighter plane. Take aim and fire at will. Over.",control to tarrit prepared to engage target at heading two for zero the pure anti air artillery against a brown gray and white biter plane take aim and fire at will over
18,"Turret Mike, target yellow fighter plane at one niner five, engage with machine gun. Lock on and fire at will.",that it might target yellow fight of green at one nine o five engaged with machine gun lock on and fire at will
19,Deploy interceptor jets to intercept green commercial aircraft heading zero eight five.,deploring in the separate jets to intercept green commercial et cetera heading's ear a pipe
20,"Turret Charlie, heading three three five, deploy electromagnetic pulse on orange, silver, and yellow cargo aircraft.",for a charley heading three three pipes employ a electromagnetic pulse on orange silver and yellow cargo air crack
21,Deploy interceptor jets to intercept an orange commercial aircraft heading three one five.,defloy intercepted jets to intercept an orange commercial aircruff heading tree one five
22,"Bravo, engage with machine gun, heading two three zero, target black drone.",babo engaged with machinery again heading two three zero target black drone
23,"Turret Bravo, heading two three five, engage target red drone with machine gun.",darried bravo heading two three five engaged our get rid of groaned the machingan
24,"Control to turrets, prepare to deploy electromagnetic pulse. Target is a grey camouflage cargo aircraft on heading three three five. Fire at will to neutralize the threat. Over.",control to turrets prepare to deploy a electromagnetic pulse target is a great camouflash cargo air craft on heading three three five fire at will to neutralize the threat over
25,"Turret Alpha, engage orange and black helicopter heading one three five with the machine gun.",curd alfer engage orange and black hellekopter heading one to the five with the machine gun
26,"Control tower to air defense turrets, deploy interceptor jets heading three zero five, target is silver, grey, and red fighter jet.",controlled hours to wear defenced turks deploring to separate jets heading threes here or five navigated silver gray and red fido jet
27,"Turret Alpha, deploy anti-air artillery to intercept the grey, blue, and yellow fighter plane at heading one eight five.",dorrit halifa diploy and the air artillery to intercept the gray blue and yellow fight of plain at heading one eight five
28,"Air defense turret, redirect heading to one two five, lock on target, red cargo aircraft. Deploy electromagnetic pulse. Engage.",air defenced are it re direct heading to one two five locke and target red cargo air craft the floe electromagnetic pulse engage
29,"Engage target, brown and grey fighter plane, heading two seven zero. Deploy electromagnetic pulse.",engaged target brown and gray fighterplane heading two seven zero defloy electromagnetic poles
30,"Control to air defense turrets, this is Control. Prepare to engage the red and silver light aircraft at heading zero niner zero using surface-to-air missiles. Take aim and fire at will. Good luck, over.",condole to ad defensed to it this is contoured prepared to engage the red and silver light et cetera at heading zero ninea zero using surface to airmeciles take aim and fire at will would luck over
31,"Engage surface-to-air missiles, heading three two zero, target purple and black commercial aircraft.",and gave a surface to air mizil heading three to zero target purple and black commercial air craft
32,"Activate machine gun system, target the yellow, white, and orange fighter plane heading two niner five. Engage at will.",actuate machine gun system target the yellow white and orange fight of lane heading two nine of five and gauge at will
33,"Control, deploy drone catcher to heading one three five, target the red and blue drone. Over.",control deployedrum catcher to heading one three fibres hard at the red and blue drum over
34,"Deploy anti-air artillery towards heading two six five. Engage blue, yellow, and purple helicopter.",diplomated our artillery towards heading two six five engaged blue yellow and purple halicopter
35,"Control to air defense turrets, prepare to deploy the machine gun. Your target is the silver missile at a heading of two seven zero. Engage at will. Over.",turned to agrafens to it prepared to employ the machine gun your target is the silver messiah at a heading off two seven viro and gay jack will over
36,"Turret, lock onto target, silver and yellow light aircraft, at three five zero heading. Deploy electromagnetic pulse.",direct lock on to target silver and yellow light air craft at three five year o heading employ electro magnetic pulse
37,"Initiate electromagnetic pulse deployment against the brown, silver, and green drone at heading three four zero. Launch now.",in this shade electromagnetic post employment against the brown silver and green drone at heading three four zero launch now
38,"Engage red fighter plane with electromagnetic pulse, heading two five zero. Standby for impact.",and gave her a vital plan with the electromagnet poles heading two five heels stand by for impact
39,"Control tower to turrets, this is operator speaking. Engage yellow and white camouflage fighter jet at heading three three zero with electromagnetic pulse. Over.",control tower to turrets this is operator speaking engage yellow and white camouflage fighter jet but heading three zero with electro magnetic pulse over
40,"Control here, be advised we have a red, black, and green drone at heading two eight five. Deploy surface-to-air missiles to intercept target immediately. Over.",control here be advised we have a red black and green drone at heading two eight thighs the floe surface to air missiles to intercept target immediately over
41,"Control Tower to interceptors, deploy interceptor jets IMMEDIATELY. Target is an orange and yellow fighter jet heading zero four zero. Engage and intercept the target. Repeat, engage and intercept the target. Over.",controlled however to intercept this employ intercept a jet immediately target is an orange and yellow fighted jet heading pharaoh for his hero engaged and intercept a target repeat engage and intercept the target over
42,"Air defense turret, adjust heading to one one five. Deploy surface-to-air missiles to intercept the silver, brown, and grey cargo aircraft.",air defense done it a just heading to one point the employ surface to air missiles to intercept the silver brown and gray cargo air craft
43,"Engage target, heading zero six five. Deploy EMP on red, green, and purple commercial aircraft.",engaged target heading the aro six five deport e m t on red green and purple commercial air craft
44,"Control tower to air defense turrets, deploy EMP at heading two four zero. Target is silver, blue, and brown missile.",control tower to air defense for it deployed the empty ad heading two four hero target is silver blue and brown missiles
45,"Turret Mike, deploy machine gun to engage the yellow and silver missile at heading one four five.",correctly blowing a sheen gun to engage the yellow and silver missile at having one full five
46,"Deploy anti-air artillery, heading three two five, engage blue and orange fighter jet.",defloy anteer artillery heading three two five engage blue and orange fighter jet
47,"Turret November, target the black camouflage commercial aircraft heading zero niner zero, deploy electromagnetic pulse.",turret november target the black camouflash commercial air craft heading zero nine o zero deploy electromagnetic pope
48,"Control tower to air defense turrets, deploy machine gun, engage blue light aircraft, heading three four zero.",controlled our to air defenced dots deploy machine gun en gauge blue light air craft heading three for zero
49,"Control commanding, deploy machine gun, heading three three zero, engage silver, black, and orange drone. Over.",and told commanding employed machine gun having three veal engaged silver black and orange drawn over
50,"Turret Alpha, rotate heading one five five, engage purple, brown, and silver cargo aircraft with anti-air artillery. Turret Bravo and Charlie, maintain current position and monitor for additional threats. Over.",turret alpha rotate heading one five engaged purple brown and silver cargo air craft with anti air artillery tarried bravo and charley maintain current position and monitor for additional threats over
51,"Turret Bravo, deploy anti-air artillery to heading two eight five. Engage blue and brown light aircraft.",doubled the employ and the electility to heading two a five engaged blue and brown light accroft
52,"Deploy interceptor jets to heading three six zero. Engage the yellow, silver, and red cargo aircraft. Take them down swiftly and effectively.",employ imperceptible jets to heading three six year old engage the yellow silver and red cargo air craft take them down swiftly and effectively
53,"Deploy anti-air artillery to intercept the green, red, and black fighter jet heading three one zero.",the glory and the air artillery to intercept the green red and black fighter jet heading three one wheel
54,"Engage target, silver, red, and white light aircraft, heading zero seven five, with anti-air artillery.",and giff target filibur red and white light air craft heading little seven feet with antieid artillery
55,"Turret Alpha, prepare to deploy EMP at heading zero four five on target green fighter jet. Execute.",turret alpha prepared to deplore alienity at heading real for five on target green fight object execute
56,"Turret Bravo, deploy anti-air artillery on the white and grey drone heading two seven five.",arid bravo reply and the heir artillery on the white and great jones heading two seven five
57,"Turret Alpha, heading one four zero, target brown and blue helicopter, deploy electromagnetic pulse. Watch for impact.",darret alpher having one fourth hero target brown and blue helicopta defloy electromagnetic pulse what for impact
58,"Turrets, engage blue and white light aircraft heading two niner zero, deploy EMP.",turrets engage blue and white light air craft heading two nine of thero defloy ye and thee
59,"Deploy surface-to-air missiles to intercept grey and white drone, heading two niner zero.",devoyed surface to air mistlested and set gray and white drone heading to niagara's hero
60,"Control tower to turrets, heading three five zero, deploy machine gun on black and orange fighter plane.",controlled out to turrets heading three five zero deploy machine gun on black and orange frightfully
61,"Control tower to turrets, heading zero two five. Deploy anti-air artillery on grey and yellow cargo aircraft.",control tower to guard it heading vera two five the employ and tie air artillery on gray and yellow cargo air craft
62,"Engage, surface-to-air missiles, heading two one five, black and red fighter jet.",gauge surface to her missiles heading two and five like an red side or jet
63,"Engage target, grey commercial aircraft at heading three three five, deploy electromagnetic pulse.",and gave target great commercial aircup that heading three three five employ electromagnetic palms
